"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAMD8",16.6105610298751,-0.570770518353657,0.074856677556939,-7.62484439573886,2.44328925424718e-14,2.759966689256e-11
"LEPRE1",14.4373385324535,0.838612578912025,0.110115389378788,7.61576182623546,2.62140676137832e-14,2.80531914100555e-11
"SNRPB",69.4929138959335,0.638643509980048,0.0841152393902552,7.59248282011114,3.13833103926565e-14,3.19058425106943e-11
"COL6A2",69.8207429903848,1.7467658767565,0.231205238909008,7.55504453531847,4.18716557645014e-14,4.0541732221886e-11
"TRIM67",3.35883384061408,-2.65878465734394,0.352407502006089,-7.54463126411537,4.53568984573188e-14,4.19200825605756e-11
"DNAJC12",13.283847891687,-0.854874105831456,0.114168919182751,-7.48780063743139,7.00373021572678e-14,6.10181441040499e-11
"RASL10A",21.6712085729475,-1.45682099749974,0.194654687073372,-7.48413007363453,7.20225966899718e-14,6.10181441040499e-11
"BUD31",83.2796254978039,0.536759513159356,0.0719215747842136,7.46312236307111,8.44958093071539e-14,6.27896454705087e-11
"DAZAP1",34.8309415669752,0.53104470419381,0.0711177469594049,7.46711934641206,8.19694192796018e-14,6.27896454705087e-11
"GUSB",28.3367089004878,0.615638738847569,0.0825707992762574,7.45588930037875,8.92636704507401e-14,6.27896454705087e-11
"PPM1L",8.25603454526649,-0.771198215048547,0.103440710114463,-7.45546133814404,8.95539132761891e-14,6.27896454705087e-11
"RP11-138C9.1",26.1210464447872,1.51364247698555,0.202962815234609,7.45773296076867,8.80238403978749e-14,6.27896454705087e-11
"AKAP6",16.3660865991643,-0.779793864639729,0.104906498469232,-7.43322745509836,1.05979429907492e-13,7.18293249436347e-11
"PPIB",266.17939969706,0.595409479018578,0.0802384644380819,7.42049942241904,1.16679517182892e-13,7.6530471705798e-11
"CLPTM1L",47.332002820488,0.378821609498734,0.0518190406130204,7.31047130586105,2.66206994175833e-13,1.69149587893038e-10
"SHC1",36.5058959864013,0.911987060687514,0.125085193967874,7.29092734126263,3.07828757899408e-13,1.89669155586929e-10
"RALGAPA1",13.8076462551266,-0.49073394507881,0.0673587350634977,-7.28537946290419,3.2076615569404e-13,1.91827595403733e-10
"RFC2",21.1082213397393,0.547574618981509,0.0753077831108812,7.27115573399996,3.56424737599507e-13,2.07062405417451e-10
"ALDH5A1",20.4604098837643,-0.743097739063727,0.102437721491439,-7.25414162131504,4.04217015210888e-13,2.28304015841194e-10
"CSMD3",3.47068440006284,-1.49223670081204,0.206728330227936,-7.2183464122538,5.26235256933025e-13,2.68374122045066e-10
"LAMB1",31.0808500415994,1.2453790117716,0.172325844669017,7.22688470881186,4.94199299732004e-13,2.68374122045066e-10
"LUM",38.7321717023228,2.10646718012103,0.291839263863434,7.21790191023356,5.27957747592714e-13,2.68374122045066e-10
"PWAR6",9.91225604363114,-1.12902686963536,0.156301029716197,-7.22341286993041,5.0698787679268e-13,2.68374122045066e-10
"IGFBP3",95.1184042080574,1.7558211432077,0.243463326790043,7.21185061568586,5.5196510009419e-13,2.73734301956467e-10
"EIF4E2",30.2796068895539,0.454854719452027,0.0632232186257142,7.19442523394448,6.27244260596594e-13,3.03660894064537e-10
"LMAN2",68.3359915430565,0.519086618698284,0.0723013958418583,7.17948267324824,6.99756904640221e-13,3.30887375396503e-10
"SEMA3D",2.11727589703654,-1.66419618555612,0.23378204684926,-7.11857992512648,1.09044697112819e-12,4.95119286935021e-10
"WDFY3-AS2",6.1098575341779,-0.835017208035477,0.117312164514766,-7.1179081171107,1.09577376245886e-12,4.95119286935021e-10
"PLOD3",36.3882058964097,0.679672890885442,0.0957179043295331,7.100791598461,1.24044310840962e-12,5.48302820071581e-10
"PLAUR",17.7301667733035,1.48729228803911,0.210370143640611,7.06988293253221,1.55064456706603e-12,6.70835233662842e-10
"MGAT4C",3.89314650550137,-1.43281488615532,0.20285340572264,-7.06330209764579,1.6259170623178e-12,6.88745242252246e-10
"ERVK3-1",27.8468411945835,0.529374620701524,0.0750031377926821,7.05803298743021,1.68875975812627e-12,7.00766370652681e-10
"TMSB4XP4",7.62994889553565,2.10083638159604,0.297920235277622,7.05167401481922,1.76777966431254e-12,7.18885278289337e-10
"ANPEP",4.91800974244089,1.48948210815466,0.211789235958427,7.03285085011138,2.02355647338554e-12,7.89915991880111e-10
"HSPA6",7.78024938904658,1.82357578056132,0.25938328747229,7.03042897764232,2.05899510990242e-12,7.89915991880111e-10
"SNRPD2",172.529399663613,0.560820681502644,0.0797647040818996,7.03093790615474,2.05149792400505e-12,7.89915991880111e-10
"CD63",642.722271640361,0.719120825926645,0.102378940462038,7.02410889076639,2.1543674788543e-12,8.07910805619315e-10
"TGFBI",71.7332873996573,1.47968942488388,0.210718527630612,7.02211353468529,2.18536833271344e-12,8.07910805619315e-10
"C10orf32",18.7646249156513,-0.607520706984824,0.0866026785519928,-7.0150336818981,2.29893566768132e-12,8.20074718087094e-10
"IRF3",34.4300263823734,0.681150290534393,0.0970970307905628,7.01515056627865,2.29701456179468e-12,8.20074718087094e-10
"IGFBP2",221.589262321553,1.6764068967936,0.239238286451221,7.00726845046776,2.43015725155356e-12,8.51937713721356e-10
"HYPK",5.50951031100781,1.14252162159504,0.16352699127692,6.98674642438854,2.81334052228062e-12,9.69553437958168e-10
"SPAG4",2.93492563366485,1.54320512676959,0.221391056371946,6.97049443667203,3.15829012661862e-12,1.07029188574227e-09
"CTD-2231E14.8",16.5887885315355,0.606145187083403,0.0870517057429606,6.96304778763532,3.32988801239307e-12,1.10994447468833e-09
"HSP90B1",210.733474505962,0.506795891906378,0.0728418477031028,6.95748265436697,3.46406583394392e-12,1.13604597744487e-09
"CEP68",10.4107196746819,-0.47480590717654,0.0683880067658618,-6.94282418263952,3.84337644045552e-12,1.24043449466321e-09
"FKBP1A",146.70024596838,0.508998410405519,0.073382299650281,6.93625592045029,4.02627940391092e-12,1.2669384854487e-09
"SC5D",28.5809872465742,-0.541392690332405,0.0780619729260846,-6.93542156364713,4.05011565210081e-12,1.2669384854487e-09
"C1orf85",23.5031486732236,0.703740239890394,0.101599699537585,6.92659764835288,4.31082364142718e-12,1.32806025910816e-09
"RCN3",12.4722551534811,1.10429936569937,0.159502654422733,6.92339177486428,4.40956052652819e-12,1.33820289829698e-09
"UBE2I",58.582979138817,0.449849840980026,0.0650255225882237,6.91805037583035,4.57901478355803e-12,1.36919275873655e-09
"RP11-513M16.8",3.17288999358857,-1.01336119297181,0.146812452493813,-6.90241989530496,5.11240522869175e-12,1.50652950021724e-09
"RP11-138I1.4",47.0080899993006,1.31790606511606,0.191038462704149,6.89864253753461,5.2501795103973e-12,1.52502714264155e-09
