"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PLAT",21.2810111923996,2.07040009075049,0.202565062665477,10.2209140288403,1.59826652176342e-24,3.24975531870157e-20
"MGP",91.3922409561043,2.39351657663086,0.244447704142099,9.79152815131163,1.22431312517669e-22,1.24469793871088e-18
"KLHDC8A",34.8289130080065,1.77446801098356,0.189264450721624,9.37560119831219,6.87826473850258e-21,4.66185856426576e-17
"TIMP1",419.130343364928,2.67693667008725,0.292464350146486,9.15303581016442,5.53556235625419e-20,2.81386473474291e-16
"IBSP",9.08655396880455,4.26873711496895,0.470995414575896,9.06322436028958,1.26650171132466e-19,5.15035585927285e-16
"APOL4",6.41074826488046,2.00053536573437,0.228560255032681,8.75277009753211,2.08178511024832e-18,4.78695220201663e-15
"MIR4435-1HG",23.828091181791,1.8527389607341,0.211243115557305,8.77064777162639,1.77641330799252e-18,4.78695220201663e-15
"SERPINH1",55.8897703247225,1.62122749423189,0.185082004880433,8.75950903643624,1.96102621906844e-18,4.78695220201663e-15
"TNFRSF12A",36.0389244977674,1.978492222951,0.226093268179392,8.75077899878546,2.1188496443294e-18,4.78695220201663e-15
"NPNT",12.1427890439217,2.04354383936392,0.236045275529096,8.65742317774975,4.82548541291471e-18,9.81165949007948e-15
"COL4A2",69.7205912216708,1.94624772338772,0.229246746505569,8.48975068590751,2.0708086340274e-17,3.82779563233446e-14
"H19",58.7269286631766,3.60926075795807,0.426557819265644,8.46136348917884,2.64269289971196e-17,4.4778228941536e-14
"SMC4",15.4389144959443,1.15366098824429,0.1370175215417,8.41980627925154,3.7710734413269e-17,5.89824894480769e-14
"COL1A2",108.347262276539,2.30183332290689,0.274893531663078,8.37354487383181,5.59103810009087e-17,8.1201841206534e-14
"CDK2",15.632997902902,1.06962746734073,0.128993597030101,8.2920973751211,1.11268779095591e-16,1.50828539023377e-13
"CRY2",18.1719922670924,-0.798455583968554,0.0966909277406365,-8.25781283338525,1.48365957663002e-16,1.87900747931112e-13
"ITGB1",89.1391178524523,0.984678077682801,0.11934073212724,8.25098070148377,1.57099922039488e-16,1.87900747931112e-13
"CDKN2C",28.198073151739,1.32279184108478,0.160986810368157,8.21677153587751,2.09054791878403e-16,2.23996023801222e-13
"COL4A1",69.2801050855192,2.06475364352006,0.251289766084517,8.21662447974749,2.09311191276409e-16,2.23996023801222e-13
"GLUD1",140.235405363769,-0.878756228674029,0.107358638844149,-8.18524003410386,2.71761431251387e-16,2.76286259081722e-13
"COL5A2",17.1577813239488,1.85113094690686,0.226584719119894,8.1697077989066,3.09137282823629e-16,2.99318493888231e-13
"FLNA",161.500834710798,1.21058184521518,0.148947705936801,8.12756287585144,4.38007442030202e-16,4.04818423581823e-13
"GATSL3",13.3339929133451,-1.03676505390082,0.128243174205892,-8.08436831293891,6.24872242737817e-16,5.5241423093861e-13
"ARAP3",7.34851109693302,1.45935293483526,0.182483722515301,7.99716771841331,1.27313767463223e-15,1.03546833353188e-12
"COL1A1",86.7374333084715,2.54885782512388,0.318625128634086,7.99955055663872,1.248741708334e-15,1.03546833353188e-12
"LINC00152",21.7637144432467,1.7298399359397,0.217803536946276,7.94220314414079,1.98621288326888e-15,1.55329486751946e-12
"TAGLN2",134.362284366042,1.38570434792041,0.174628282097639,7.93516566317492,2.10214540195978e-15,1.58307120214993e-12
"GBP1",24.8283644377855,1.61671284753806,0.204016003496983,7.92444131747714,2.29174345630661e-15,1.66421498918151e-12
"PDLIM1",17.0999931958856,1.66201202421203,0.210418927004665,7.89858615796089,2.82084762481784e-15,1.97780326742831e-12
"CTHRC1",8.69704861365264,1.94642976174173,0.247665485664256,7.85910784670407,3.86879035629276e-15,2.62213714381669e-12
"ALDH5A1",20.4604098837643,-0.817987189277552,0.104261438924424,-7.84553903836377,4.31097708787404e-15,2.82758377831429e-12
"CA3",6.67274576946767,2.81688985880252,0.360245279276253,7.81936647292579,5.30898426483615e-15,3.37336178302854e-12
"CD248",11.5608662750394,1.921902308535,0.246164284529271,7.80739704872363,5.83811292631434e-15,3.59716212517423e-12
"CALU",62.8844447507068,1.08899093566104,0.139888884119841,7.78468527011852,6.98869617640569e-15,4.17944586337814e-12
"IQGAP2",7.89131540469906,1.2654995942867,0.162985947987325,7.7644705565974,8.19869758599265e-15,4.72540323128433e-12
"TRDC",4.44161302721598,3.15051926919037,0.405895201757681,7.76190320936887,8.36642484268115e-15,4.72540323128433e-12
"ZYX",94.9695141139975,1.04239900843258,0.134418298979626,7.75488915084821,8.84206767868437e-15,4.85907465164025e-12
"EN1",2.51895132174217,2.87010728779028,0.371621962822353,7.72319070162784,1.13453237558826e-14,6.07064389285161e-12
"CDC20",10.7196886166572,1.56122672088772,0.203393627592652,7.6758880765649,1.64276516783316e-14,8.56470363014142e-12
"COL3A1",81.9695455168652,2.46346762495319,0.321666753458025,7.65844650859963,1.88195594297127e-14,9.56645254710872e-12
"CDK4",167.171751910955,1.36946686600397,0.179953919090868,7.61009747896883,2.73889271814328e-14,1.35829038141481e-11
"FSTL1",47.0592120540302,1.25438777683174,0.165899257893328,7.56114157929684,3.99547056852809e-14,1.93350487509486e-11
"NUSAP1",18.7453380060013,1.45970782307296,0.193130737250649,7.55813312708747,4.08895439084635e-14,1.93350487509486e-11
"MCAM",42.072628938933,1.10658348089295,0.146532406341871,7.55180037316259,4.29282133680417e-14,1.98377127820998e-11
"LOXL1",9.36190230062393,1.87762584723988,0.249547206689285,7.52413089350963,5.3072156505085e-14,2.39803590715087e-11
"SOCS2",16.0569508013421,1.57025072346171,0.208878027399768,7.5175486048441,5.58128125039744e-14,2.46704764487677e-11
"BIRC5",8.77566185100566,1.54024446194973,0.205324441405758,7.50151541338388,6.30842102876609e-14,2.72913031442342e-11
"TAGLN",146.73047223523,1.64385349687404,0.21932242461389,7.49514555918296,6.62248285089709e-14,2.80531132931855e-11
"CAPN5",22.2595386830915,1.01490016868276,0.135582117337966,7.48550169159045,7.12743400730782e-14,2.95759419735898e-11
"WEE1",13.0593320675028,1.16259142401736,0.155377148914458,7.48238355601068,7.29865565264567e-14,2.96807130770489e-11
"METTL7B",28.1595522568334,1.93333021756903,0.258716938436576,7.47276243006016,7.85285480668547e-14,3.13082542714384e-11
"TNC",83.9198253316069,1.54660084095923,0.207211241686642,7.46388481807418,8.40080453183004e-14,3.28487612587885e-11
"DGCR6",41.271971022119,-1.29578005864426,0.173787222326025,-7.45612963543068,8.9101081490203e-14,3.41828733950999e-11
"GNG12",19.5229118204865,1.25488487239143,0.168358896961282,7.45362968658569,9.08066506354513e-14,3.41920671735302e-11
"PTX3",17.9561806942616,2.66715245457431,0.359091923886191,7.42749217445397,1.10675928527892e-13,4.09158846319569e-11
"FN1",333.098148010288,1.57263434410694,0.21187712075039,7.42238868707134,1.15026653155355e-13,4.17649453322826e-11
"GJC1",5.81540819313378,1.24461019105699,0.167976102562334,7.40944796355856,1.26826226687548e-13,4.44613390903089e-11
"TGFB2",19.6901172283048,1.60375197325026,0.216396486362814,7.41117381435378,1.25186379822953e-13,4.44613390903089e-11
"PDIA5",6.06828296133235,1.16846873284411,0.157974916331544,7.39654598323591,1.39772417922644e-13,4.81693656545954e-11
"OSBPL11",15.8877749990171,-0.850554576497334,0.115458707640458,-7.36674256865917,1.74847654708282e-13,5.92529560530584e-11
"ANXA1",126.17308507291,1.78071223206356,0.242007899457536,7.35807482340473,1.86581460987756e-13,6.21632742528864e-11
"LAMC1",23.4703537667362,1.2176094976722,0.16552678014,7.35596679064474,1.89550140347168e-13,6.21632742528864e-11
