"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TIMP1",419.130343364928,4.51389740448622,0.254397589336147,17.7434755426153,1.93582510362728e-70,4.1165320828634e-66
"ALDH5A1",20.4604098837643,-1.56108492834128,0.0926748208041027,-16.8447579913979,1.1463699056157e-63,1.2188778021459e-59
"COL1A2",108.347262276539,3.93948048722236,0.239309740115339,16.4618476678954,6.89628497694747e-61,4.88831666782626e-57
"GLUD1",140.235405363769,-1.53151059663681,0.0935634028191022,-16.3686927846978,3.20013786605807e-60,1.70127329304312e-56
"COL6A2",69.8207429903848,3.53397002326375,0.216473560868444,16.3251808169378,6.53468080940557e-60,2.77919974824019e-56
"CRY2",18.1719922670924,-1.3978339804411,0.0857925054082554,-16.2931945370905,1.10313421797384e-59,3.90969152420229e-56
"SERPINH1",55.8897703247225,2.57997117631314,0.161136710410436,16.0110701635997,1.0695426924849e-57,3.24911790795591e-54
"WDFY3-AS2",6.1098575341779,-1.64078579948091,0.103179911303262,-15.902182689985,6.11949341481705e-57,1.62663784332606e-53
"IGFBP2",221.589262321553,3.51386866562219,0.221719893419845,15.8482336042278,1.44588135244846e-56,3.41629632886851e-53
"H19",58.7269286631766,5.897462212506,0.37338870798214,15.7944310752646,3.39845443760606e-56,7.22681336156929e-53
"PPM1L",8.25603454526649,-1.44045162029737,0.0920861200851195,-15.6424401306722,3.74113284827987e-55,7.2322900016974e-52
"IGFBP3",95.1184042080574,3.51656733414399,0.226797879792912,15.5052919249287,3.19461427011438e-54,5.66112270449852e-51
"TACC3",14.2911712107644,2.1677310736823,0.14099814548565,15.3741814561874,2.43906405796388e-53,3.98974593789246e-50
"COL3A1",81.9695455168652,4.30159111974045,0.280159168768047,15.35409723928,3.32505912656903e-53,5.05052730903503e-50
"TPM4",143.466871069235,1.52570729899602,0.0996629195327521,15.3086755450168,6.69126520941758e-53,9.48598364521765e-50
"COL1A1",86.7374333084715,4.24558988592486,0.277527829476184,15.2978888421321,7.89771834815043e-53,1.04965612920887e-49
"MIR4435-1HG",23.828091181791,2.81258402449713,0.184502698918646,15.2441348607984,1.80102678457363e-52,2.25287262199755e-49
"LINC00152",21.7637144432467,2.89018013166855,0.189966783078593,15.2141342019401,2.84964472174212e-52,3.36653861154701e-49
"GABBR1",105.826263437223,-1.85217741516622,0.122554615671252,-15.113077586034,1.32790116816275e-51,1.48620096531478e-48
"FN1",333.098148010288,2.7697181127106,0.184210257101918,15.0356345856366,4.28918247476727e-51,4.5604732662963e-48
"LUM",38.7321717023228,4.09602366061262,0.275877732995624,14.8472427119647,7.24893827315479e-50,7.34041297041127e-47
"SMC4",15.4389144959443,1.7662893227705,0.119452558562789,14.7865340351171,1.78933559082453e-49,1.7295555154038e-46
"PCOLCE",29.319042594456,2.5623794315123,0.173500384597777,14.7687247924702,2.3308129605237e-49,2.15498859154507e-46
"TMSB10",1334.15246911124,1.74167589419361,0.117975947427548,14.762974421233,2.53834470549964e-49,2.24907917343541e-46
"COL4A2",69.7205912216708,2.90485018526124,0.199613827777384,14.5523494920443,5.64310918796005e-48,4.80002867527882e-45
"CLIC1",92.7423103395441,2.17071605399263,0.149427237428623,14.526910162744,8.18290399764679e-48,6.69267128884458e-45
